timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,est_fl,est_ll
47:04.2,1.637268519,0,,0,0,0.068055556
47:22.0,1.637268519,,,0,0,0.068055556
47:37.3,1.637268519,,,0,0,0.068055556
47:51.3,1.637268519,,,0,0,0.068055556
48:08.2,1.637268519,,,0,0,0.068055556
48:29.8,1.637268519,,0.068055555,1,0,0.068055556
48:47.9,1.523842593,2.450000048,0.907407403,0,2.45,0.907407407
49:04.1,1.013425926,0,0.317592591,1,0,0.317592593
49:20.2,0.911342593,2.450000048,0.907407403,0,2.45,0.907407407
49:29.8,0.491666667,0,0.362962961,1,0,0.362962963
49:34.2,0.434953704,2.450000048,0.612500012,1,2.45,0.65787037
49:38.1,0.298842593,2.450000048,0.862037063,0,2.45,0.862037037
49:44.5,5.8,0,0.862037063,1,0,0.862037037
49:48.8,5.743287037,2.450000048,0.907407403,0,2.45,0.907407407
49:54.0,5.629861111,0,0.09074074,1,0,0.090740741
49:59.2,5.584490741,2.450000048,0.226851851,1,2.45,0.340277778
50:05.1,5.380324074,2.450000048,0.657870352,1,2.45,0.771296296
50:16.7,5.153472222,,0.385648161,1,2.45,0.453703704
50:26.4,4.722453704,,0.204166666,1,2.45,0.272222222
50:36.0,4.336805556,,0.907407403,0,2.45,0.907407407
50:45.5,4.019212963,,0.04537037,1,0,0.04537037
50:55.1,3.951157407,,0.680555582,1,2.45,0.680555556
51:04.7,3.576851852,,0.317592591,1,2.45,0.340277778
51:14.3,3.191203704,,0.907407403,0,2.45,0.907407407
51:24.0,2.884953704,,0.113425925,1,0,0.113425926
51:33.5,2.839583333,,0.703240752,1,2.45,0.748611111
51:42.9,2.453935185,,0.362962961,1,2.45,0.408333333
51:52.5,2.068287037,,0,1,2.45,0.068055556
52:01.9,1.682638889,,0.748611093,1,2.45,0.839351852
52:11.5,1.308333333,,0.476388901,1,2.45,0.499074074
52:20.9,0.911342593,,0.09074074,1,2.45,0.158796296
52:30.2,0.54837963,,0.907407403,0,2.45,0.907407407
52:40.3,5.8,,0,1,0,0
52:49.6,5.743287037,,0.567129612,1,2.45,0.65787037
52:57.9,5.368981481,,0.272222221,1,2.45,0.272222222
53:05.8,5.028703704,,0.907407403,0,2.45,0.907407407
53:14.0,4.745138889,,0,1,0,0
53:22.4,4.699768519,,0.544444442,1,2.45,0.589814815
53:29.2,4.359490741,2.450000048,0.907407403,0,2.45,0.022685185
53:32.8,4.132638889,0,0.113425925,1,0,0.113425926
53:36.5,4.098611111,2.450000048,0.272222221,1,2.45,0.294907407
53:40.4,3.9625,2.450000048,0.567129612,1,2.45,0.589814815
53:44.2,3.803703704,2.450000048,0.907407403,0,2.45,0.907407407
53:48.2,3.690277778,0,0,1,0,0
53:51.9,3.644907407,2.450000048,0.181481481,1,2.45,0.204166667
53:55.8,3.497453704,2.450000048,0.453703701,1,2.45,0.521759259
53:59.7,3.338657407,2.450000048,0.793981493,1,2.45,0.839351852
54:03.3,3.179861111,2.450000048,0.022685185,1,2.45,0.022685185
54:07.3,3.032407407,2.450000048,0.272222221,1,2.45,0.340277778
54:11.1,2.873611111,2.450000048,0.612500012,1,2.45,0.635185185
54:14.7,2.726157407,2.450000048,0.839351833,1,2.45,0.907407407
54:18.3,2.578703704,2.450000048,0.09074074,1,2.45,0.113425926
54:22.5,2.43124998,2.450000048,0.385648161,1,2.45,0.408333333
54:31.2,2.261111111,2.450000048,,1,2.45,0.816666667
54:39.4,1.909490741,2.450000048,,1,2.45,0.385648148
54:47.8,1.580555556,2.450000048,,1,2.45,0.907407407
54:56.6,1.240277778,2.450000048,,1,2.45,0.680555556
55:05.4,0.863,2.450000048,,1,2.45,0.294907407
55:14.1,0.537037037,2.450000048,,1,2.45,0.907407407
55:23.0,5.788657407,2.450000048,,1,2.45,0.6125
55:31.9,5.437037037,2.450000048,,1,2.45,0.226851852
55:40.7,5.074074074,2.450000048,,1,2.45,0.907407407
55:48.2,4.722453704,2.450000048,,1,2.45,0.453703704
55:55.6,4.416203704,2.450000048,,1,2.45,0.907407407
56:02.8,4.121296296,2.450000048,,1,2.45,0.544444444
56:10.3,3.837731481,2.450000048,,1,2.45,0
56:14.9,3.542824074,2.450000048,0.589814842,1,2.45,0.65787037
56:19.8,3.361342593,2.450000048,0.907407403,0,2.45,0.907407407
56:28.7,3.225231481,0,,0,0,0
56:41.2,3.225231481,,,0,0,0
56:54.4,3.225231481,,,0,0,0
